Loading pre-computed embeddings from cache: /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
Emb cache: loaded iv=(92115, 1152) ex=(92115, 1152) from /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
[full_iv_ex/frozen] epoch 49/200 loss=2.1328 iv_val=0.9728 ex_val=0.9646 bal_val=0.9687 ex2iv=0.0855 align=0.4821 cpair=0.0000
[full_iv_ex/frozen] epoch 50/200 loss=2.1311 iv_val=0.9719 ex_val=0.9663 bal_val=0.9691 ex2iv=0.0864 align=0.4802 cpair=0.0000
[full_iv_ex/frozen] epoch 51/200 loss=2.1334 iv_val=0.9706 ex_val=0.9619 bal_val=0.9662 ex2iv=0.0862 align=0.4818 cpair=0.0000
[full_iv_ex/frozen] epoch 52/200 loss=2.1322 iv_val=0.9728 ex_val=0.9628 bal_val=0.9678 ex2iv=0.0858 align=0.4807 cpair=0.0000
[full_iv_ex/frozen] epoch 53/200 loss=2.1349 iv_val=0.9590 ex_val=0.9636 bal_val=0.9613 ex2iv=0.0832 align=0.4826 cpair=0.0000
[full_iv_ex/frozen] epoch 54/200 loss=2.1319 iv_val=0.9665 ex_val=0.9612 bal_val=0.9638 ex2iv=0.0898 align=0.4807 cpair=0.0000
[full_iv_ex/frozen] epoch 55/200 loss=2.1316 iv_val=0.9673 ex_val=0.9503 bal_val=0.9588 ex2iv=0.0867 align=0.4811 cpair=0.0000
[full_iv_ex/frozen] epoch 56/200 loss=2.1305 iv_val=0.9636 ex_val=0.9598 bal_val=0.9617 ex2iv=0.0843 align=0.4792 cpair=0.0000
[full_iv_ex/frozen] epoch 57/200 loss=2.1299 iv_val=0.9682 ex_val=0.9525 bal_val=0.9604 ex2iv=0.0875 align=0.4804 cpair=0.0000
[full_iv_ex/frozen] epoch 58/200 loss=2.1306 iv_val=0.9617 ex_val=0.9568 bal_val=0.9592 ex2iv=0.0901 align=0.4805 cpair=0.0000
[full_iv_ex/frozen] epoch 59/200 loss=2.1301 iv_val=0.9690 ex_val=0.9510 bal_val=0.9600 ex2iv=0.0868 align=0.4805 cpair=0.0000
[full_iv_ex/frozen] epoch 60/200 loss=2.1300 iv_val=0.9613 ex_val=0.9487 bal_val=0.9550 ex2iv=0.0837 align=0.4806 cpair=0.0000
[full_iv_ex/frozen] epoch 61/200 loss=2.1290 iv_val=0.9657 ex_val=0.9450 bal_val=0.9554 ex2iv=0.0886 align=0.4788 cpair=0.0000
[full_iv_ex/frozen] epoch 62/200 loss=2.1306 iv_val=0.9648 ex_val=0.9532 bal_val=0.9590 ex2iv=0.0874 align=0.4801 cpair=0.0000
[full_iv_ex/frozen] epoch 63/200 loss=2.1274 iv_val=0.9614 ex_val=0.9421 bal_val=0.9517 ex2iv=0.0905 align=0.4790 cpair=0.0000
[full_iv_ex/frozen] epoch 64/200 loss=2.1278 iv_val=0.9643 ex_val=0.9552 bal_val=0.9598 ex2iv=0.0868 align=0.4785 cpair=0.0000
[full_iv_ex/frozen] epoch 65/200 loss=2.1268 iv_val=0.9667 ex_val=0.9496 bal_val=0.9582 ex2iv=0.0762 align=0.4783 cpair=0.0000
[full_iv_ex/frozen] epoch 66/200 loss=2.1279 iv_val=0.9598 ex_val=0.9342 bal_val=0.9470 ex2iv=0.0903 align=0.4780 cpair=0.0000
[full_iv_ex/frozen] epoch 67/200 loss=2.1256 iv_val=0.9625 ex_val=0.9396 bal_val=0.9510 ex2iv=0.0873 align=0.4772 cpair=0.0000
[full_iv_ex/frozen] epoch 68/200 loss=2.1270 iv_val=0.9653 ex_val=0.9430 bal_val=0.9541 ex2iv=0.0895 align=0.4780 cpair=0.0000
[full_iv_ex/frozen] epoch 69/200 loss=2.1271 iv_val=0.9638 ex_val=0.9341 bal_val=0.9489 ex2iv=0.0880 align=0.4785 cpair=0.0000
[full_iv_ex/frozen] epoch 70/200 loss=2.1250 iv_val=0.9639 ex_val=0.9288 bal_val=0.9463 ex2iv=0.0892 align=0.4774 cpair=0.0000
[full_iv_ex/frozen] epoch 71/200 loss=2.1249 iv_val=0.9537 ex_val=0.9304 bal_val=0.9420 ex2iv=0.0738 align=0.4767 cpair=0.0000
[full_iv_ex/frozen] epoch 72/200 loss=2.1251 iv_val=0.9648 ex_val=0.9367 bal_val=0.9507 ex2iv=0.0914 align=0.4769 cpair=0.0000
[full_iv_ex/frozen] epoch 73/200 loss=2.1235 iv_val=0.9610 ex_val=0.9221 bal_val=0.9415 ex2iv=0.0694 align=0.4759 cpair=0.0000
[full_iv_ex/frozen] epoch 74/200 loss=2.1236 iv_val=0.9521 ex_val=0.9280 bal_val=0.9400 ex2iv=0.0792 align=0.4758 cpair=0.0000
[full_iv_ex/frozen] epoch 75/200 loss=2.1239 iv_val=0.9605 ex_val=0.9255 bal_val=0.9430 ex2iv=0.0750 align=0.4761 cpair=0.0000
[full_iv_ex/frozen] epoch 76/200 loss=2.1283 iv_val=0.9559 ex_val=0.9232 bal_val=0.9395 ex2iv=0.0832 align=0.4779 cpair=0.0000
[full_iv_ex/frozen] epoch 77/200 loss=2.1229 iv_val=0.9478 ex_val=0.9344 bal_val=0.9411 ex2iv=0.0759 align=0.4746 cpair=0.0000
[full_iv_ex/frozen] epoch 78/200 loss=2.1236 iv_val=0.9408 ex_val=0.9178 bal_val=0.9293 ex2iv=0.0701 align=0.4762 cpair=0.0000
[full_iv_ex/frozen] epoch 79/200 loss=2.1228 iv_val=0.9476 ex_val=0.9216 bal_val=0.9346 ex2iv=0.0817 align=0.4752 cpair=0.0000
[full_iv_ex/frozen] epoch 80/200 loss=2.1251 iv_val=0.9413 ex_val=0.9161 bal_val=0.9287 ex2iv=0.0746 align=0.4761 cpair=0.0000
[full_iv_ex/frozen] epoch 81/200 loss=2.1251 iv_val=0.9480 ex_val=0.9246 bal_val=0.9363 ex2iv=0.0790 align=0.4769 cpair=0.0000
[full_iv_ex/frozen] epoch 82/200 loss=2.1221 iv_val=0.9438 ex_val=0.9294 bal_val=0.9366 ex2iv=0.0834 align=0.4753 cpair=0.0000
[full_iv_ex/frozen] epoch 83/200 loss=2.1228 iv_val=0.9468 ex_val=0.9151 bal_val=0.9310 ex2iv=0.0868 align=0.4762 cpair=0.0000
[full_iv_ex/frozen] epoch 84/200 loss=2.1227 iv_val=0.9383 ex_val=0.9079 bal_val=0.9231 ex2iv=0.0792 align=0.4754 cpair=0.0000
[full_iv_ex/frozen] epoch 85/200 loss=2.1219 iv_val=0.9426 ex_val=0.9103 bal_val=0.9264 ex2iv=0.0777 align=0.4751 cpair=0.0000
[full_iv_ex/frozen] epoch 86/200 loss=2.1210 iv_val=0.9393 ex_val=0.9059 bal_val=0.9226 ex2iv=0.0879 align=0.4751 cpair=0.0000
[full_iv_ex/frozen] epoch 87/200 loss=2.1234 iv_val=0.9303 ex_val=0.9040 bal_val=0.9171 ex2iv=0.0759 align=0.4761 cpair=0.0000
[full_iv_ex/frozen] epoch 88/200 loss=2.1228 iv_val=0.9340 ex_val=0.9121 bal_val=0.9231 ex2iv=0.0807 align=0.4752 cpair=0.0000
[full_iv_ex/frozen] epoch 89/200 loss=2.1201 iv_val=0.9433 ex_val=0.8909 bal_val=0.9171 ex2iv=0.0805 align=0.4734 cpair=0.0000
[full_iv_ex/frozen] epoch 90/200 loss=2.1197 iv_val=0.9440 ex_val=0.9026 bal_val=0.9233 ex2iv=0.0808 align=0.4738 cpair=0.0000
[full_iv_ex/frozen] epoch 91/200 loss=2.1232 iv_val=0.9370 ex_val=0.9042 bal_val=0.9206 ex2iv=0.0816 align=0.4753 cpair=0.0000
[full_iv_ex/frozen] epoch 92/200 loss=2.1206 iv_val=0.9428 ex_val=0.9016 bal_val=0.9222 ex2iv=0.0745 align=0.4738 cpair=0.0000
[full_iv_ex/frozen] epoch 93/200 loss=2.1209 iv_val=0.9464 ex_val=0.8938 bal_val=0.9201 ex2iv=0.0895 align=0.4743 cpair=0.0000
[full_iv_ex/frozen] epoch 94/200 loss=2.1195 iv_val=0.9356 ex_val=0.8953 bal_val=0.9155 ex2iv=0.0729 align=0.4735 cpair=0.0000
[full_iv_ex/frozen] epoch 95/200 loss=2.1218 iv_val=0.9316 ex_val=0.9021 bal_val=0.9169 ex2iv=0.0815 align=0.4758 cpair=0.0000
[full_iv_ex/frozen] epoch 96/200 loss=2.1206 iv_val=0.9414 ex_val=0.9027 bal_val=0.9221 ex2iv=0.0745 align=0.4729 cpair=0.0000
